NAME;ZUSATZ;STRASSE;NUMMER;PLZ;STADT;LAND;ADRESS_TYP;REFERENZ
Hochschule für Polizei und öffentliche Verwaltung Nordrhein-Westfalen;;Haidekamp;73;;;DEU;HOUSE;13078
Hochschule RheinMain;;Kurt-Schumacher-Ring;18;65022;Wiesbaden;DEU;HOUSE;12945
Berliner Hochschule für Technik;;Luxemburger Str.;10;;;DEU;HOUSE;12854
Otto-von-Guericke-Universität Magdeburg;;Universitätsplatz;2;39016;Magdeburg;DEU;HOUSE;12833
Universität Rostock;;Universitätsplatz;1;18051;Rostock;DEU;HOUSE;12814
Technische Hochschule Nürnberg Georg Simon Ohm;;Keßlerplatz;12;90121;Nürnberg;DEU;HOUSE;12601
Hochschule für Wirtschaft und Recht Berlin;;Badensche Straße;52;;;DEU;HOUSE;12433
Universität Bayreuth;;Universitätsstraße;30;95440;Bayreuth;DEU;HOUSE;12329
Universität Mannheim;;;Schloss;68131;Mannheim;DEU;HOUSE;11560
Otto-Friedrich-Universität Bamberg;;Kapuzinerstr.;25;96045;Bamberg;DEU;HOUSE;11311
Universität Passau;;Innstraße;41;94030;Passau;DEU;HOUSE;11202
Hochschule Düsseldorf;;Münsterstraße;156;;;DEU;HOUSE;11172
Universität Trier;;Universitätsring;15;;;DEU;HOUSE;11034
Fachhochschule Südwestfalen;;Baarstraße;6;58590;Iserlohn;DEU;HOUSE;10995
Universität Konstanz;;Universitätsstraße;10;78457;Konstanz;DEU;HOUSE;10832
Hochschule Braunschweig/Wolfenbüttel, Ostfalia Hochschule für angewandte Wissenschaften;;Salzdahlumer Straße;46/48;;;DEU;HOUSE;10775
Ostbayerische Technische Hochschule Regensburg;;Seybothstraße;2;93025;Regensburg;DEU;HOUSE;10564
Hochschule Bielefeld - University of Applied Sciences and Arts (HSBI);;Interaktion;1;33511;Bielefeld;DEU;HOUSE;10538
Universität Greifswald;;Domstraße;11;;;DEU;HOUSE;10356
Universität Ulm;;Albert-Einstein-Allee;11;89069;Ulm;DEU;HOUSE;10181
Europäische Fernhochschule Hamburg;;Doberaner Weg;20-22;;;DEU;HOUSE;9646
Leuphana Universität Lüneburg;;Universitätsallee;1;;;DEU;HOUSE;9337
Technische Universität Chemnitz;;Straße der Nationen;62;9107;Chemnitz;DEU;HOUSE;9258
Technische Hochschule Würzburg-Schweinfurt;;Münzstraße;12;;;DEU;HOUSE;9230
Hochschule Bonn-Rhein-Sieg, University of Applied Sciences;;Grantham-Allee;20;53757;Sankt Augustin;DEU;HOUSE;9070
Hochschule Koblenz;;Konrad-Zuse-Straße;1;;;DEU;HOUSE;8992
Hochschule Fulda - University of Applied Sciences;;Leipziger Straße;123;36012;Fulda;DEU;HOUSE;8963
Hochschule Hannover;;Expo Plaza;4;30531;Hannover;DEU;HOUSE;8891
Hochschule Bremen;;Neustadtwall;30;;;DEU;HOUSE;8672
Universität Hohenheim;;Schloss Hohenheim;1;;;DEU;HOUSE;8653
Hochschule des Bundes für öffentliche Verwaltung;;Willy-Brandt-Straße;1;50306;Brühl;DEU;HOUSE;8641
Technische Hochschule Deggendorf;;Dieter-Görlitz-Platz;1;94453;Deggendorf;DEU;HOUSE;8382
Universität Hildesheim;;Universitätsplatz;1;31113;Hildesheim;DEU;HOUSE;8070
Hochschule Wismar - University of Applied Sciences: Technology, Business and Design;;Philipp-Müller-Straße;14;23952;Wismar;DEU;HOUSE;8048
SRH Fernhochschule - The Mobile University;;Kirchstraße;26;88499;Riedlingen;DEU;HOUSE;8040
Hochschule Heilbronn, Technik, Wirtschaft, Informatik;;Max-Planck-Straße;39;;;DEU;HOUSE;7862
DIPLOMA Hochschule - Private Fachhochschule Nordhessen;;Am Hegeberg;2;;;DEU;HOUSE;7775
Hochschule Bochum - University of Applied Sciences;;Am Hochschulcampus;1;44707;Bochum;DEU;HOUSE;7695
Fachhochschule Kiel;;Sokratesplatz;1;;;DEU;HOUSE;7670
Westfälische Hochschule Gelsenkirchen, Bocholt, Recklinghausen;;Neidenburger Straße;43;45877;Gelsenkirchen;DEU;HOUSE;7620
Technische Universität Hamburg;;Am Schwarzenberg-Campus 3;(E);;;DEU;HOUSE;7223
Deutsche Hochschule für Prävention und Gesundheitsmanagement GmbH;;Hermann Neuberger Sportschule;3;;;DEU;HOUSE;7133
Hochschule Anhalt - Anhalt University of Applied Sciences;;Bernburger Straße;55;6354;Köthen;DEU;HOUSE;7067
Hochschule Karlsruhe - Technik und Wirtschaft;;Moltkestraße;30;76012;Karlsruhe;DEU;HOUSE;6934
Technische Hochschule Ingolstadt;;Esplanade;10;85019;Ingolstadt;DEU;HOUSE;6878
Hochschule für Technik, Wirtschaft und Kultur Leipzig;;Karl-Liebknecht-Straße;132;4251;Leipzig;DEU;HOUSE;6843
Hochschule Trier - Trier University of Applied Sciences;;;Schneidershof;54208;Trier;DEU;HOUSE;6688
Brandenburgische Technische Universität Cottbus-Senftenberg;;Platz der Dt. Einheit;1;3013;Cottbus;DEU;HOUSE;6620
Technische Hochschule Augsburg;;An der Hochschule;1;86031;Augsburg;DEU;HOUSE;6606
Hochschule Rhein-Waal - University of Applied Sciences;;Marie-Curie-Str.;1;;;DEU;HOUSE;6465
Jade Hochschule -  Wilhelmshaven/Oldenburg/Elsfleth;;Friedrich-Paffrath-Straße;101;;;DEU;HOUSE;6399
Technische Hochschule Rosenheim;;Hochschulstraße;1;;;DEU;HOUSE;6383
Hochschule Esslingen;;Kanalstraße;33;;;DEU;HOUSE;6335
HAWK Hochschule für angewandte Wissenschaft und Kunst Hildesheim/Holzminden/Göttingen;;Hohnsen;4;;;DEU;HOUSE;6325
Europa-Universität Flensburg;;Auf dem Campus;1;;;DEU;HOUSE;6256
AKAD Hochschule Stuttgart - staatlich anerkannt;;Heilbronner Str.;86;;;DEU;HOUSE;6187
Pädagogische Hochschule Ludwigsburg;;Reuteallee;46;71602;Ludwigsburg;DEU;HOUSE;6097
Hochschule Mittweida, University of Applied Sciences;;Technikumplatz;17;9644;Mittweida;DEU;HOUSE;6079
Hochschule  für  angewandte  Wissenschaften  Weihenstephan-Triesdorf;;Am Hofgarten;4;;;DEU;HOUSE;6027
Hochschule Ruhr West- University of Applied Sciences;;Duisburger Straße;100;45407;Mülheim;DEU;HOUSE;5999
Technische Hochschule Ostwestfalen-Lippe ;;Campusallee;12;;;DEU;HOUSE;5960
Deutsche Sporthochschule Köln;;Am Sportpark Müngersdorf;6;50927;Köln;DEU;HOUSE;5949
Hochschule für Technik und Wirtschaft des Saarlandes;;Goebenstraße;40;66140;Saarbrücken;DEU;HOUSE;5942
Universität zu Lübeck;;Ratzeburger Allee;160;;;DEU;HOUSE;5931
Universität Erfurt;;Nordhäuser Straße;63;99105;Erfurt;DEU;HOUSE;5897
Hochschule Kaiserslautern (University of Applied Sciences);;Schoenstr.;11;67604;Kaiserslautern;DEU;HOUSE;5846
Rheinische Fachhochschule Köln;;Schaevenstrasse;1a-b;;;DEU;HOUSE;5817
Hochschule Pforzheim - Gestaltung, Technik, Wirtschaft und Recht;;Tiefenbronner Straße;65;;;DEU;HOUSE;5654
Hochschule der Medien Stuttgart;;Nobelstraße;10;;;DEU;HOUSE;5637
Fachhochschule des Mittelstands (FHM);;Ravensberger Straße 10;G;;;DEU;HOUSE;5629
Hochschule Mainz;;Lucy-Hillebrand-Straße;2;55009;Mainz;DEU;HOUSE;5621
Katholische Hochschule Nordrhein-Westfalen - Catholic University of Applied Sciences;;Wörthstraße;10;;;DEU;HOUSE;5440
Hochschule für Wirtschaft und Umwelt Nürtingen-Geislingen;;Neckarsteige;6-10;;;DEU;HOUSE;5411
Steinbeis-Hochschule;;Hegelstraße;39;;;DEU;HOUSE;5386
Hochschule Mannheim;;Paul-Wittsack-Straße;10;;;DEU;HOUSE;5347
Pädagogische Hochschule Heidelberg;;Keplerstraße;87;69032;Heidelberg;DEU;HOUSE;5260
Hochschule Magdeburg-Stendal;;Breitscheidstraße;2;39011;Magdeburg;DEU;HOUSE;5258
Hochschule Furtwangen - Informatik, Technik, Wirtschaft, Medien, Gesundheit;;Robert-Gerwig-Platz;1;78113;Furtwangen;DEU;HOUSE;5216
Technische Hochschule Lübeck;;Mönkhofer Weg;239;;;DEU;HOUSE;5138
Hochschule Hamm-Lippstadt;;Marker Allee;76-78;;;DEU;HOUSE;5134
Hochschule für angewandte Wissenschaften Kempten;;Bahnhofstraße;61;87406;Kempten;DEU;HOUSE;5056
Hochschule Aalen - Technik und Wirtschaft;;Beethovenstraße;1;73428;Aalen;DEU;HOUSE;5035
Hochschule Reutlingen, Hochschule für Technik-  Wirtschaft-Informatik-Design;;Alteburgstraße;150;;;DEU;HOUSE;4977
Pädagogische Hochschule Freiburg;;Kunzenweg;21;79117;Freiburg;DEU;HOUSE;4932
Katholische Universität Eichstätt - Ingolstadt;;Ostenstraße;26;85071;Eichstätt;DEU;HOUSE;4929
Wilhelm Büchner Hochschule - Private Fernhochschule Darmstadt;;Hilpertstr.;31;64201;Darmstadt;DEU;HOUSE;4915
Hochschule für den öffentlichen Dienst in Bayern;;Wagmüllerstraße;20;;;DEU;HOUSE;4907
MSH Medical School Hamburg - University of Applied Sciences and Medical University;;Am Kaiserkai;1;20457;Hamburg;DEU;HOUSE;4845
Hochschule für angewandte Wissenschaften Coburg;;Friedrich-Streib-Straße;2;96406;Coburg;DEU;HOUSE;4808
Europa-Universität Viadrina Frankfurt (Oder);;Große Scharrnstraße;59;;;DEU;HOUSE;4786
PFH - Private Hochschule Göttingen;;Weender Landstr.;3-7;;;DEU;HOUSE;4775
Technische Universität Ilmenau;;Ehrenbergstraße;29;98684;Ilmenau;DEU;HOUSE;4753
Hochschule für Technik und Wirtschaft Dresden - University of Applied Sciences;;Friedrich-List-Platz;1;1008;Dresden;DEU;HOUSE;4634
Hochschule Landshut - Hochschule für angewandte Wissenschaften;;Am Lurzenhof;1;;;DEU;HOUSE;4524
Hochschule Konstanz Technik, Wirtschaft und Gestaltung;;Alfred-Wachtel-Straße;8;;Konstanz;DEU;HOUSE;4456
Hochschule für Wirtschaft und Gesellschaft Ludwigshafen ;;Ernst-Boehe-Str.;4;67072;Ludwigshafen;DEU;HOUSE;4400
Alice Salomon Hochschule Berlin;;Alice-Salomon-Platz;5;;;DEU;HOUSE;4335
Ernst-Abbe-Hochschule Jena - University of Applied Sciences;;Carl-Zeiss-Promenade;2;7703;Jena;DEU;HOUSE;4330
University of Europe for Applied Sciences;;Konrad-Zuse-Ring;11;;;DEU;HOUSE;4330
IST-Hochschule für Management;;Erkrather Str. 220;a-c;;;DEU;HOUSE;4278
Hessische Hochschule für öffentliches Management und Sicherheit;;Schönbergstraße;100;;;DEU;HOUSE;4271
Hochschule Emden/Leer;;Constantiaplatz;4;;;DEU;HOUSE;4264
Ostbayerische Technische Hochschule Amberg-Weiden;;Kaiser-Wilhelm-Ring;23;92204;Amberg;DEU;HOUSE;4183
Universität der Künste Berlin;;Einsteinufer;43;10595;Berlin;DEU;HOUSE;4179
Hochschule Macromedia - staatlich anerkannte Hochschule für angewandte Wissenschaften der Macromedia GmbH mit Sitz in Stuttgart;;Naststraße 11/Im;Römerkastell;;;DEU;HOUSE;4154
Universität Vechta;;Driverstraße;22;49364;Vechta;DEU;HOUSE;4111
Fachhochschule Erfurt;;Altonaer Straße;25;99051;Erfurt;DEU;HOUSE;4063
Hochschule für Technik Stuttgart;;Schellingstraße;24;70013;Stuttgart;DEU;HOUSE;3989
Hochschule für angewandte Wissenschaften Neu-Ulm;;Wileystraße;1;;;DEU;HOUSE;3974
Hochschule für Angewandte Wissenschaften Hof;;Alfons-Goppel-Platz;1;;;DEU;HOUSE;3943
Bauhaus-Universität Weimar;;Geschwister-Scholl-Straße;8;99421;Weimar;DEU;HOUSE;3930
Hochschule für Technik, Wirtschaft und Medien Offenburg;;Badstraße;24;;;DEU;HOUSE;3906
Hochschule für angewandtes Management;;Steinheilstraße;4;;;DEU;HOUSE;3900
Frankfurt School of Finance & Management;;Adickesallee;32-34;60003;Frankfurt am Main;DEU;HOUSE;3894
Medizinische Hochschule Hannover (MHH);;Carl-Neuberg-Str.;1;30623;Hannover;DEU;HOUSE;3890
Universität der Bundeswehr München;;Werner-Heisenberg-Weg;39;;0;DEU;HOUSE;3734
Hochschule für angewandte Wissenschaften Ansbach;;Residenzstraße;8;91510;Ansbach;DEU;HOUSE;3719
Pädagogische Hochschule Karlsruhe;;Bismarckstraße;10;76060;Karlsruhe;DEU;HOUSE;3676
Fachhochschule Potsdam;;Kiepenheuerallee;5;;;DEU;HOUSE;3657
Hochschule Ravensburg-Weingarten;;;Doggenriedstraße;88216;Ravensburg;DEU;HOUSE;3611
Technische Hochschule Aschaffenburg;;Würzburger Straße;45;;;DEU;HOUSE;3475
Pädagogische Hochschule Weingarten;;Kirchplatz;2;;;DEU;HOUSE;3398
International School of Management;;Otto-Hahn-Straße;19;;;DEU;HOUSE;3397
Hochschule Worms, University of Applied Sciences;;Erenburgerstr.;19;;;DEU;HOUSE;3391
Technische Universität Bergakademie Freiberg;;Akademiestraße;6;9596;Freiberg;DEU;HOUSE;3381
APOLLON Hochschule der Gesundheitswirtschaft;;Universitätsallee;18;;;DEU;HOUSE;3365
Hochschule Flensburg;;Kanzleistraße;91-93;24905;Flensburg;DEU;HOUSE;3355
Technische Hochschule Wildau;;Hochschulring;1;;;DEU;HOUSE;3296
Technische Hochschule Ulm;;Prittwitzstraße;10;89028;Ulm;DEU;HOUSE;3233
SRH Hochschule Heidelberg - Staatlich anerkannte Fachhochschule;;Ludwig-Guttmann-Str.;6;69004;Heidelberg;DEU;HOUSE;3102
Technische Universität Clausthal;;Adolph-Roemer-Straße 2;A;38670;Clausthal-Zellerfeld;DEU;HOUSE;3024
Hochschule Harz, Hochschule für angewandte Wissenschaften (FH);;Friedrichstraße;57-59;;;DEU;HOUSE;3017
Private Universität Witten/Herdecke gGmbH;;Alfred-Herrhausen-Str.;50;;;DEU;HOUSE;3011
Hochschule Merseburg;;Eberhard-Leibnitz-Straße;2;;;DEU;HOUSE;2953
Westsächsische Hochschule Zwickau;;Kornmarkt;1;8012;Zwickau;DEU;HOUSE;2931
Hochschule Albstadt-Sigmaringen;;Anton-Günther-Straße;51;72481;Sigmaringen;DEU;HOUSE;2904
Pädagogische Hochschule Schwäbisch Gmünd;;Oberbettringer Str.;200;;;DEU;HOUSE;2872
Hochschule Bremerhaven;;An der Karlstadt;8;;;DEU;HOUSE;2816
Hochschule für Finanzen NRW;;;Schloßstraße;;;DEU;HOUSE;2795
Hochschule für öffentliche Verwaltung und Finanzen Ludwigsburg;;Reuteallee;36;;;DEU;HOUSE;2792
Medical School Berlin - Hochschule für Gesundheit und Medizin (MSB);;Rüdesheimer Str.;50;;;DEU;HOUSE;2787
SRH Berlin University of Applied Sciences;;Ernst-Reuter-Platz;10;;;DEU;HOUSE;2749
Hessische Hochschule für Finanzen und Rechtspflege Rotenburg a.d. Fulda;;Josef-Durstewitz Straße;2-6;;;DEU;HOUSE;2610
Hochschule Schmalkalden;;Blechhammer;9;98574;Schmalkalden;DEU;HOUSE;2564
Evangelische Hochschule Rheinland-Westfalen-Lippe;;Immanuel-Kant-Straße;18-20;;;DEU;HOUSE;2558
Hochschule Zittau/Görlitz;;Theodor-Körner-Allee;16;2754;Zittau;DEU;HOUSE;2532
Helmut-Schmidt-Universität/Universität der Bundeswehr Hamburg;;Holstenhofweg;85;22039;Hamburg;DEU;HOUSE;2529
NORDAKADEMIE Hochschule der Wirtschaft;;Köllner Chaussee;11;;;DEU;HOUSE;2481
HafenCity Universität Hamburg;;Henning-Voscherau-Platz;1;;;DEU;HOUSE;2469
Technische Hochschule Brandenburg;;Magdeburger Straße;50;14737;Brandenburg;DEU;HOUSE;2465
Europäische Fachhochschule Rhein/Erft, european university of applied sciences;;Kaiserstraße;6;;;DEU;HOUSE;2457
Katholische    Stiftungshochschule für   angewandte Wissenschaften München - Hochschule der Kirchlichen Stiftung des öffentlichen Rechts Katholische Bildungsstätten für Sozialberufe in Bayern;;Preysingstraße;95;;;DEU;HOUSE;2437
Technische Hochschule Bingen;;Berlinstraße;109;;;DEU;HOUSE;2433
Hochschule für Polizei Baden-Württemberg;;Sturmbühlstraße;250;;;DEU;HOUSE;2337
Hochschule Biberach - Hochschule für Architektur und Bauwesen, Betriebswirtschaft und Biotechnologie;;Karlstraße;11;88382;Biberach;DEU;HOUSE;2336
Stiftung Tierärztliche Hochschule Hannover;;Bünteweg;2;30545;Hannover;DEU;HOUSE;2328
Hochschule für nachhaltige Entwicklung Eberswalde;;Schicklerstr.;5;;;DEU;HOUSE;2323
Technische Hochschule Georg Agricola;;Herner Straße;45;44782;Bochum;DEU;HOUSE;2316
Hochschule Stralsund;;Zur Schwedenschanze;15;;;DEU;HOUSE;2268
Fliedner Fachhochschule Düsseldorf;;Geschwister-Aufricht-Straße;9;;;DEU;HOUSE;2204
CBS International Business School - University of Applied Sciences;;Hardefuststraße;1;;;DEU;HOUSE;2185
HMKW Hochschule für Medien, Kommunikation und Wirtschaft;;Ackerstraße;76;;;DEU;HOUSE;2124
Hochschule Neubrandenburg - University of Applied Sciences;;Brodaer Straße;2;17041;Neubrandenburg;DEU;HOUSE;2082
Hochschule Nordhausen;;Weinberghof;4;99727;Nordhausen;DEU;HOUSE;2035
WHU - Otto Beisheim School of Management;;Burgplatz;2;;;DEU;HOUSE;2026
Fachhochschule der Wirtschaft;;Fürstenallee;5;;;DEU;HOUSE;2021
DHGS Deutsche Hochschule für Gesundheit und Sport;;Franklinstr.;28-29;;;DEU;HOUSE;1951
Katholische Hochschule Freiburg, staatlich anerkannte Hochschule - Catholic University of Applied Sciences;;Karlstraße;63;;;DEU;HOUSE;1868
Hochschule für Gesundheit - University of Applied Sciences;;Gesundheitscampus;6-8;;;DEU;HOUSE;1808
EBS Universität für Wirtschaft und Recht;;Gustav-Stresemann-Ring;3;;;DEU;HOUSE;1805
Hochschule Geisenheim;;Von-Lade-Straße;1;;;DEU;HOUSE;1723
Fachhochschule für Verwaltung und Dienstleistung in Schleswig-Holstein;;Rehmkamp;10;;;DEU;HOUSE;1716
Folkwang Universität der Künste;;Klemensborn;39;45224;Essen;DEU;HOUSE;1694
Evangelische Hochschule Berlin;;Teltower Damm;118-122;14132;Berlin;DEU;HOUSE;1651
BSP Business and Law School - Hochschule für Management und Recht;;Calandrellistraße;1-9;;;DEU;HOUSE;1648
Fachhochschule Westküste, Hochschule für Wirtschaft und Technik;;Fritz-Thiedemann-Ring;20;;;DEU;HOUSE;1572
Kommunale Hochschule für Verwaltung in Niedersachsen;;Wielandstraße;8;;;DEU;HOUSE;1561
Katholische Hochschule Mainz Catholic University of Applied Sciences;;Saarstraße;3;55247;Mainz-Kastel;DEU;HOUSE;1543
Hochschule der Bundesagentur für Arbeit - Staatlich anerkannte Hochschule für angewandte Wissenschaft in Mannheim und Schwerin (University of Applied Labour Studies of the Federal Employment Agency);;Seckenheimer Landstraße;16;;;DEU;HOUSE;1543
Constructor University;;Campus Ring;1;;;DEU;HOUSE;1531
DIU - Dresden International University GmbH;;Freiberger Straße;37;;;DEU;HOUSE;1515
Hochschule der Polizei Rheinland-Pfalz;;Hunsrück;Drive;;;DEU;HOUSE;1511
Hochschule für Musik und Theater Hamburg;;Harvestehuder Weg;12;;;DEU;HOUSE;1462
Hochschule für Musik und Tanz Köln;;Unter Krahnenbäumen;87;;;DEU;HOUSE;1457
Hochschule für Musik, Theater und Medien Hannover;;Neues Haus;1;;;DEU;HOUSE;1441
SRH Hochschule für Gesundheit;;Neue Straße 28 -;30;;;DEU;HOUSE;1434
Alanus Hochschule für Kunst und Gesellschaft;;Villestraße;3;;;DEU;HOUSE;1430
Hochschule für öffentliche Verwaltung Kehl;;Kinzigallee;1;;;DEU;HOUSE;1421
Duale Hochschule Gera-Eisenach;;Weg der Freundschaft;4;;;DEU;HOUSE;1395
Evangelische Hochschule Darmstadt (staatlich anerkannt) – Kirchliche Körperschaft des öffentlichen Rechts;;Zweifalltorweg;12;;;DEU;HOUSE;1333
Akkon-Hochschule;;Colditzstraße;34-36;;;DEU;HOUSE;1301
Evangelische Hochschule Ludwigsburg - staatlich anerkannte Hochschule für Angewandte Wissenschaften der Evangelischen Landeskirche in Württemberg;;Paulusweg;6;;;DEU;HOUSE;1271
Evangelische Hochschule für angewandte Wissenschaften - Evangelische Fachhochschule Nürnberg;;Bärenschanzstraße;4;;;DEU;HOUSE;1257
Katholische Hochschule für Sozialwesen Berlin (KHSB) - Staatlich anerkannte Fachhochschule für Sozialwesen;;Köpenicker Allee;39-57;;;DEU;HOUSE;1247
Burg Giebichenstein Kunsthochschule Halle;;Neuwerk;7;6003;Halle;DEU;HOUSE;1187
Hochschule für Musik und Theater München;;Arcisstraße;12;;;DEU;HOUSE;1167
Hochschule für Musik und Theater Felix Mendelssohn Bartholdy Leipzig;;Grassistraße;8;4008;Leipzig;DEU;HOUSE;1130
Fachhochschule Wedel;;Feldstraße;143;;;DEU;HOUSE;1128
EBZ Business School - University of Applied Sciences;;Springorumallee;20;;;DEU;HOUSE;1114
bbw Hochschule;;Wagner-Régeny-Straße;21;;;DEU;HOUSE;1069
hochschule 21;;Harburger Straße;6;;;DEU;HOUSE;1067
ESCP Europe Wirtschaftshochschule Berlin e.V.;;Heubnerweg;8-10;14059;Berlin;DEU;HOUSE;1055
